term,estimate,std.error,statistic,p.value
(Intercept),1591.028371929422,211.10121161853652,7.536803601129668,7.60906281661589e-14
PriceInitial,0.08383054959797075,0.021954196061362296,3.818429486721497,1.388842779051712e-4
log1p(RecommendationCount),1.059313103487064,0.0861589260025904,12.294873585764234,2.0707645864043312e-33
ReleaseYear,-0.75765582406209675,0.1050053821346624,-7.21539990293501,7.910926198626004e-13
IsFreeTRUE,-0.8826373704849119,2.3785881680690273,-0.3710761628825598,0.7106247658539648
GenreIsIndieTRUE,-0.43602642547329057,0.575378334324581,-0.7578082097671068,0.4486656690647284
GenreIsActionTRUE,-2.6457303039088416,0.5577465755094625,-4.743606541182529,2.2660543654536295e-6
GenreIsAdventureTRUE,0.06820344726281151,0.6036799400521639,0.11297948256640442,0.9100595044798444
GenreIsCasualTRUE,0.4966778489556962,0.890201311379699,0.5579387972209439,0.5769560269383319
GenreIsStrategyTRUE,-0.16246068935188873,0.6520702441844843,-0.24914599431702514,0.8032764686812335
GenreIsRPGTRUE,0.6978614217712503,0.6782326405292957,1.0289410742995742,0.30364653385627466
GenreIsSimulationTRUE,-2.0686516690547747,0.8191359606729539,-2.5254069756079227,0.011642238946686421
GenreIsEarlyAccessTRUE,15.886570484934799,10.580735596436016,1.501461816160115,0.13341272447411195
GenreIsFreeToPlayTRUE,-1.8261392684122701,3.0620092125641403,-0.5963859484547576,0.5509929207477007
GenreIsSportsTRUE,3.384817421133878,1.639472990510608,2.064576507649381,0.039107002247573255
GenreIsRacingTRUE,-1.2533852437624144,1.3608374697062722,-0.9210396330672387,0.35715398643649876
GenreIsMassivelyMultiplayerTRUE,4.516012025766243,2.162112012060881,2.0887040081987576,0.036875499003037326
