term,estimate
(Intercept),1493.8466870187863
PriceInitial,0.07437956617029762
log1p(RecommendationCount),0.9915100356500847
ReleaseYear,-0.709294833798062
IsFreeTRUE,-0.21903555458846768
GenreIsIndieTRUE,-0.14423258064153935
GenreIsActionTRUE,-2.1748018095068153
GenreIsRPGTRUE,0.37704355338059287
GenreIsSimulationTRUE,-1.3599541592388087
GenreIsEarlyAccessTRUE,6.40483387930863
GenreIsSportsTRUE,1.645489639268945
GenreIsMassivelyMultiplayerTRUE,1.8303598928233507
