term,estimate,std.error,statistic,p.value
(Intercept),1661.4234896959179,179.60488162062597,9.250436150200489,6.13219211070228e-20
PriceInitial,0.08685943824451005,0.020583788571827657,4.219798407927279,2.566922943088596e-5
log1p(RecommendationCount),1.0540249906088783,0.08330208294572769,12.653044837973479,3.2393555319887326e-35
ReleaseYear,-0.7927976411844985,0.0892531439516905,-8.882573835310621,1.5461526944434445e-18
GenreIsActionTRUE,-2.491669053287815,0.502873286053554,-4.954864619757237,7.916769245482761e-7
