ReleaseYear,n_games,mean_metacritic
2006,45,77.24444444444444
2007,76,78.71052631578948
2008,116,76.89655172413794
2009,192,73.82291666666667
2010,161,73.92546583850931
2011,194,72.26804123711341
2012,207,72.20289855072464
2013,261,71.63984674329502
2014,369,69.23848238482385
2015,369,70.54471544715447
2016,250,71.24
